RespId,educ,race,gender,income_cat,voter_category
470618,College,Hispanic,Female,$125k or more,sporadic
470619,High school or less,White,Female,Less than $40k,always
470621,Some college,White,Female,Less than $40k,sporadic
470623,College,White,Male,$75-125k,always
470625,College,White,Male,$125k or more,sporadic
470626,High school or less,White,Female,Less than $40k,always
470628,High school or less,White,Male,$40-75k,sporadic
470629,High school or less,White,Male,$75-125k,rarely/never
470630,Some college,White,Male,$75-125k,always
470631,High school or less,White,Female,$40-75k,always
470632,High school or less,Black,Male,$40-75k,sporadic
470633,College,Other/Mixed,Male,$40-75k,sporadic
470634,Some college,White,Male,$40-75k,sporadic
470636,College,Black,Female,$40-75k,always
470637,College,White,Female,Less than $40k,always
470640,Some college,White,Female,$125k or more,always
470641,High school or less,White,Male,$75-125k,always
470643,Some college,White,Female,$40-75k,always
470645,High school or less,White,Male,Less than $40k,sporadic
470646,College,White,Male,$125k or more,always
470647,College,White,Female,$75-125k,always
470648,High school or less,White,Male,Less than $40k,always
470649,College,White,Male,$75-125k,always
470650,High school or less,White,Male,Less than $40k,always
470651,Some college,White,Male,Less than $40k,rarely/never
470652,College,Black,Male,$75-125k,sporadic
470653,Some college,Other/Mixed,Female,$40-75k,rarely/never
470654,College,Black,Female,$125k or more,sporadic
470655,College,White,Male,$75-125k,rarely/never
480693,High school or less,White,Male,Less than $40k,sporadic
470657,College,White,Male,$75-125k,sporadic
470659,High school or less,Other/Mixed,Female,Less than $40k,sporadic
470660,College,Black,Male,$75-125k,always
480699,High school or less,Black,Female,Less than $40k,sporadic
470662,College,Hispanic,Male,$75-125k,always
470663,Some college,Black,Male,$75-125k,rarely/never
470664,College,Other/Mixed,Male,$75-125k,always
470665,High school or less,White,Female,Less than $40k,always
470666,College,White,Female,$125k or more,always
470667,College,White,Female,$40-75k,sporadic
470668,Some college,Black,Male,$75-125k,sporadic
480708,High school or less,White,Female,$40-75k,always
470670,College,White,Female,$40-75k,sporadic
470671,College,White,Female,$75-125k,always
470673,High school or less,White,Male,$40-75k,sporadic
470674,High school or less,Hispanic,Male,$40-75k,sporadic
470675,High school or less,White,Male,Less than $40k,rarely/never
470676,Some college,White,Female,$40-75k,always
470678,Some college,White,Female,$40-75k,always
470679,High school or less,White,Male,$40-75k,rarely/never
470681,Some college,White,Female,Less than $40k,always
470683,High school or less,White,Male,$40-75k,always
470684,Some college,White,Male,$125k or more,always
470685,Some college,Black,Male,$75-125k,always
470687,College,White,Male,$125k or more,always
470689,High school or less,White,Male,$75-125k,sporadic
470691,College,Black,Male,$40-75k,always
470692,College,White,Male,$125k or more,sporadic
470694,High school or less,White,Female,Less than $40k,rarely/never
470695,College,Other/Mixed,Female,Less than $40k,rarely/never
470696,Some college,White,Male,$75-125k,sporadic
470698,High school or less,White,Female,$40-75k,always
470699,College,White,Female,$125k or more,sporadic
470700,College,White,Female,$75-125k,always
470701,College,White,Male,$75-125k,sporadic
470703,Some college,Black,Male,$75-125k,always
470705,College,White,Female,$125k or more,sporadic
470706,College,Other/Mixed,Male,$75-125k,sporadic
470707,High school or less,White,Female,$125k or more,always
470708,College,White,Female,$75-125k,always
470711,College,White,Male,$75-125k,sporadic
470712,College,White,Male,$125k or more,always
470713,College,Black,Male,$125k or more,sporadic
480755,Some college,White,Female,$75-125k,always
470715,High school or less,White,Female,$40-75k,sporadic
470718,College,White,Male,$40-75k,always
470719,College,White,Male,$125k or more,always
470720,College,Hispanic,Male,$75-125k,always
470721,College,White,Female,$125k or more,sporadic
470722,College,Other/Mixed,Male,$125k or more,always
470723,College,White,Male,$125k or more,always
470724,College,White,Female,$75-125k,always
470725,College,White,Male,$75-125k,always
470726,College,Black,Male,$75-125k,sporadic
470727,Some college,White,Female,$40-75k,always
480771,College,Other/Mixed,Female,$75-125k,always
470729,College,White,Male,$75-125k,always
470730,College,Black,Male,$75-125k,sporadic
470732,High school or less,White,Female,$125k or more,rarely/never
470736,College,White,Male,Less than $40k,sporadic
470738,College,White,Female,$40-75k,always
470739,High school or less,White,Female,Less than $40k,sporadic
470741,College,Hispanic,Male,$75-125k,always
470742,Some college,White,Male,$75-125k,always
470743,College,White,Male,$125k or more,sporadic
470744,Some college,White,Female,$40-75k,always
470745,College,White,Male,$125k or more,sporadic
470746,Some college,White,Female,$40-75k,rarely/never
470748,College,White,Female,$40-75k,sporadic
470749,College,White,Male,$125k or more,always
470750,High school or less,Black,Female,$40-75k,always
470753,High school or less,Black,Female,Less than $40k,sporadic
470755,College,White,Male,$75-125k,always
470756,High school or less,White,Male,Less than $40k,always
470757,Some college,White,Female,Less than $40k,rarely/never
470758,High school or less,White,Female,$40-75k,sporadic
480804,College,Other/Mixed,Male,$125k or more,sporadic
470759,Some college,White,Female,$125k or more,always
470760,High school or less,White,Female,Less than $40k,sporadic
470761,High school or less,White,Male,$75-125k,always
470763,High school or less,White,Male,$125k or more,sporadic
470764,College,Black,Female,$75-125k,sporadic
470765,Some college,Black,Male,$75-125k,sporadic
470768,Some college,Black,Male,$75-125k,always
470771,College,White,Female,$125k or more,always
470773,High school or less,Black,Female,$75-125k,always
470775,College,White,Female,$125k or more,always
470776,High school or less,White,Male,$75-125k,sporadic
470777,College,Black,Female,$75-125k,always
470778,College,White,Male,$40-75k,sporadic
470780,College,White,Male,$40-75k,always
470781,Some college,White,Female,$40-75k,rarely/never
470782,High school or less,White,Male,$75-125k,always
470784,College,Black,Male,$125k or more,rarely/never
470786,High school or less,White,Female,$75-125k,always
470787,High school or less,White,Male,Less than $40k,always
470788,Some college,White,Male,$75-125k,always
470790,College,White,Male,$40-75k,always
470791,Some college,Other/Mixed,Male,$75-125k,always
470792,Some college,White,Female,Less than $40k,always
470794,College,White,Male,$125k or more,rarely/never
480841,Some college,White,Female,Less than $40k,always
470795,High school or less,White,Female,$75-125k,sporadic
470796,High school or less,White,Male,$75-125k,sporadic
470797,College,White,Male,$75-125k,rarely/never
470798,High school or less,White,Female,Less than $40k,rarely/never
470799,Some college,White,Female,$125k or more,sporadic
470800,High school or less,White,Male,$75-125k,sporadic
470801,Some college,White,Male,$40-75k,sporadic
470802,College,Black,Female,$40-75k,sporadic
470803,High school or less,White,Female,$40-75k,always
470804,High school or less,White,Male,$40-75k,sporadic
470808,College,White,Male,$125k or more,sporadic
470811,College,White,Female,$40-75k,always
470813,Some college,White,Female,$40-75k,sporadic
470814,High school or less,White,Female,Less than $40k,rarely/never
480863,College,Other/Mixed,Female,$125k or more,rarely/never
470816,College,White,Female,$40-75k,sporadic
470817,Some college,White,Female,Less than $40k,always
470818,Some college,White,Female,$125k or more,always
470819,High school or less,White,Female,$40-75k,sporadic
470820,Some college,Other/Mixed,Female,$75-125k,always
470821,High school or less,White,Male,$40-75k,sporadic
470822,Some college,White,Male,$125k or more,sporadic
470823,Some college,White,Male,$40-75k,sporadic
470825,College,White,Male,$125k or more,sporadic
470826,High school or less,Black,Female,$40-75k,always
470827,High school or less,White,Male,$40-75k,always
470828,College,White,Female,Less than $40k,sporadic
470830,Some college,White,Female,$40-75k,always
470832,High school or less,White,Male,$40-75k,sporadic
470837,High school or less,White,Male,$75-125k,rarely/never
470838,Some college,White,Female,$75-125k,sporadic
470839,College,White,Male,$125k or more,always
470840,College,Other/Mixed,Female,$75-125k,sporadic
470841,College,White,Male,$40-75k,sporadic
470842,Some college,White,Female,$125k or more,always
470843,Some college,Black,Male,$40-75k,always
470844,College,White,Male,$125k or more,always
470845,College,White,Male,$75-125k,always
470848,High school or less,White,Female,Less than $40k,always
470849,College,White,Male,$75-125k,sporadic
